term,likelihood_ratio
software architecture,5.60674746765
software design,4.41623331312
java,3.73889018431
xml,3.73175858189
android,3.4068258962
dart,3.03390531049
javascript,2.9834355615
embedded software,2.79902287935
software engineering,2.79504358518
refactoring,2.60615069919
git,2.59255163752
php,2.53360675277
scala,2.47257238404
distributed systems,2.44113359476
robotics,2.37097015306
iphone,2.31669167187
gui,2.27457217392
c,2.24099910952
cloud computing,2.2099939983
haskell,2.18604244547
sql,2.03585122269
perl,2.01867380102
concurrency,1.99599235447
user interface,1.97500853001
ip,1.89744270692
bootstrap,1.86477068241
subversion,1.74656451806
computer graphics,1.74197797741
ruby,1.74078509205
clojure,1.7309372744
computer science,1.71478804947
html,1.66052527725
agile software development,1.64333288204
tcpip,1.58982534709
linux,1.554934092
ruby on rails,1.48044302688
engineering,1.43514385367
multithreading,1.36405750127
database,1.34977568933
windows,1.33167036015
bash,1.33150652674
programming language,1.3195723957
embedded systems,1.30083881436
functional programming,1.29328742525
svn,1.28408962636
erlang,1.26281025168
databases,1.25817976138
operating system,1.24897665808
scratch,1.2287554446
information systems,1.21776732173
hackathon,1.20747114882
computer engineering,1.18453801937
source code management,1.14618421185
go,1.13810481925
visual basic,1.13638003809
leadership,1.08335829057
database design,1.0683308274
systems engineering,1.0493809693
testing,1.04306496551
wireless,1.03900512018
pair programming,1.03156260165
network security,0.991881034847
environment,0.96785659146
github,0.96323966341
internet,0.924822455507
unix,0.922091438515
file,0.920565599345
high performance computing,0.904410688514
distributed computing,0.904066310456
operating systems,0.891035296909
communication,0.883120419049
ai,0.880770814924
tcl,0.878159281592
tcp,0.87408558835
compiler,0.864157772285
network management,0.853329987506
os,0.834520833357
cobol,0.834336403982
insurance,0.830460597318
big data,0.819308270134
encryption,0.818700648373
health,0.806162360869
configuration management,0.80440986785
management,0.802869038871
information system,0.796699915793
category theory,0.782117791382
artificial intelligence,0.772802090861
business,0.76218966107
swift,0.751214745712
cryptography,0.745302086806
oop,0.72982812903
range,0.698547723808
entrepreneur,0.693570301587
latency,0.676654030598
leverage,0.676526377139
debugging,0.657556222542
image processing,0.649565514063
parallel computing,0.625152551238
robust,0.621241936069
hpc,0.617681420962
throughput,0.615819469492
relational database,0.612622875637
python,0.580063812196
dollar,0.578175136762
ipv6,0.558681331089
ethernet,0.551417925193
physics,0.55075711547
pascal,0.547045394425
computer architecture,0.543827607398
algorithm,0.539165681276
compilers,0.534368281045
programming languages,0.530198737337
population,0.525937528954
electrical engineering,0.524900630264
smalltalk,0.521587500045
scheme,0.495402656907
networking,0.490685720164
history,0.490285389597
ml,0.483865416458
actionscript,0.479520023157
mean,0.466698810845
general,0.461636131776
gender,0.441804281757
cpu,0.441531557703
data encryption,0.441528003183
mac,0.416653353677
sample,0.414680105041
algorithms,0.404717257383
bioinformatics,0.404316203782
video games,0.400115425013
computer security,0.400115425013
computer systems,0.399483677619
data structures,0.39175423423
kernels,0.384545781052
marketing,0.38137476506
version control,0.372837228696
natural language processing,0.362884982307
object oriented programming,0.355584592063
powershell,0.354420296648
music,0.345288805948
assembly,0.344471500538
charting,0.340084902199
machine learning,0.33237287392
pharmaceutical,0.326174844948
estimation,0.325888490894
restructuring,0.325330181745
vbscript,0.323363822323
arts,0.321398915601
medicine,0.312903986128
delphi,0.310742529051
d,0.303801737202
pl,0.296745534609
fortran,0.295784771304
clinical trials,0.293814614421
aerospace,0.291625406544
ann,0.291604456867
philosophy,0.287396908229
drawing,0.284491152939
error,0.280487835362
travel,0.280101460212
math,0.279417352512
classification,0.275379631181
simulation,0.272368887146
biology,0.272079765929
debt,0.258499124433
exercise,0.256211406221
data visualization,0.247794478022
mathematics,0.247485937414
apex,0.242155170411
computation,0.238281066061
financing,0.23632431238
stock exchange,0.233729419264
entrepreneurship,0.2269211987
samples,0.225322951432
data analysis,0.22345893165
life sciences,0.220335033698
chemistry,0.217568135154
survey,0.213341628564
psychology,0.206888082106
bank,0.204651074896
geometry,0.198013800533
computational,0.192976362701
var,0.192020054347
regression,0.190571469453
arch,0.189832434629
forensic,0.185725970972
r,0.178741832641
mathematical,0.175493155501
inference,0.173893479202
predict,0.170639433578
information retrieval,0.167286042239
public health,0.162810596827
lisp,0.161692408375
formal methods,0.161604874214
art,0.154571856022
kinesiology,0.151284707658
s,0.146705067245
chemical engineering,0.145753281307
currency,0.143854229852
mechanical engineering,0.143558185779
topology,0.13107763272
entrepreneurial,0.129236038012
