term,likelihood_ratio
distributed systems,8.73803297457
ruby on rails,8.68771197436
ruby,8.47267209951
software engineering,8.31809545185
javascript,7.26480712099
android,6.46545686139
subversion,4.98572674281
java,4.63006085199
acm icpc,3.97217669394
git,3.92834852232
computer science,3.87172171283
data structures,3.78697949282
scala,3.62389364017
icpc,3.61799008605
hackathons,3.51832015778
functional programming,3.24870386435
software design,3.24693886094
github,3.03954504685
oop,2.94266634165
c,2.67984131945
computer engineering,2.62142599294
video game,2.54316871381
computer graphics,2.52618924704
python,2.4364639397
engineering,2.33392126662
algorithms,2.18935519359
compiler,2.17269648397
programming languages,2.13913529863
html,2.0473064929
embedded software,1.93137942384
software architecture,1.85693990575
video games,1.82146175224
iphone,1.58436025748
mars,1.47253880331
tcpip,1.40403196329
php,1.39565438597
erlang,1.37320529937
xml,1.37277203575
user interface,1.36819355822
linux,1.33274179243
go,1.32513057123
swift,1.32213446664
computational geometry,1.30713682496
computation,1.30672082213
clojure,1.29627655353
compilers,1.28670809903
dance,1.25256370939
robotics,1.22645399736
perl,1.19388141413
music,1.1718129888
hackathon,1.16234832158
computer vision,1.14728349525
entrepreneur,1.12230235195
artificial intelligence,1.11628857636
cryptography,1.10061720951
computational linguistics,1.0854561719
geometry,0.992985499269
programming language,0.991295048359
electrical engineering,0.964662747995
pair programming,0.928828882111
operating systems,0.911746583481
debugging,0.902895337504
ai,0.891885492619
computer architecture,0.889489240295
assembly,0.887641325909
haskell,0.873191918958
version control,0.873096362324
arts,0.839773995328
cloud computing,0.824321932176
bootstrap,0.80276975763
information retrieval,0.802681888334
liberal arts,0.765930463168
embedded systems,0.742781833225
eecs,0.730604965464
math,0.719020803799
networking,0.672332482593
machine learning,0.644808856345
image processing,0.618778836016
communication,0.61704330198
natural language processing,0.587143633132
computer systems,0.578484824607
deep learning,0.533353201061
distributed computing,0.515956456313
encryption,0.451377584744
big data,0.448776820681
simulation,0.439457734248
computational,0.438253115551
stock exchange,0.437773019295
leadership,0.431163277468
database,0.430612247748
testing,0.427292463543
environment,0.41851156486
analysis of algorithms,0.416832845963
information systems,0.410365794352
operating system,0.404255555728
discrete mathematics,0.403660030557
hackerrank,0.398769517285
philosophy,0.397025170334
general,0.39283854159
data visualization,0.386880604295
svn,0.379756278594
sql,0.369669441809
object oriented programming,0.368791968132
mathematics,0.359003849934
computer networking,0.358589185933
pattern recognition,0.349451498132
ann,0.335751109855
alice,0.331200948267
scratch,0.322850171348
internet,0.320641339927
unix,0.308646696776
medicine,0.308362862054
databases,0.302108664218
differential equations,0.298966122077
throughput,0.287712433406
entrepreneurship,0.284325200485
physics,0.27550918139
mode,0.249955166009
chemical engineering,0.227535884217
data mining,0.222956602273
history,0.21729241782
algorithm,0.216227200613
health,0.207718581923
business,0.200804634119
matlab,0.197450357844
biology,0.196583519646
exercise,0.185279646839
nlp,0.182820218949
entrepreneurial,0.179891362613
numerical analysis,0.175810521974
jazz,0.169615241765
d,0.169006358416
management,0.161741806765
windows,0.158844736575
public relations,0.155941408122
bias,0.149414807846
probability,0.148208091736
political science,0.145586004423
os,0.135661478206
chi,0.133735549269
range,0.130330198395
film,0.126732047656
algebra,0.121556781317
bioinformatics,0.118105635322
mac,0.114597611458
law,0.1142896998
aerospace,0.114010198333
photoshop,0.110597365818
classification,0.109322904927
olympics,0.106292397213
chemistry,0.105013464731
information theory,0.0983339331133
art,0.0923021220627
wireless,0.0903154958595
marketing,0.0893866982273
data analysis,0.0828845014432
accounting,0.0797031530646
statistics,0.0727112574085
robust,0.0706616439175
mechanical engineering,0.070653917685
prediction,0.0699842060863
ip,0.0677143009508
real estate,0.0662062762083
economics,0.0628852894557
mathematical,0.0535085195329
algorithmic,0.0486543911788
linear algebra,0.0464634992301
investment,0.0446973699847
insurance,0.0443076103216
finance,0.0365599215919
trend,0.0365194960485
bank,0.0244559045591
travel,0.0233069607913
r,0.0220689625188
psychology,0.0172882006893
signal processing,0.0172863146167
options,0.00392931912655
risk management,0.00360084211512
equity,0.00288194457496
spoj,4.63457955548e-05
set theory,4.62670127895e-05
source code management,4.61882300243e-05
programming language theory,4.61882300243e-05
math contest,3.97420825418e-05
imperative programming,3.97420825418e-05
type theory,3.97420825418e-05
topcoder,3.50342398556e-05
encrypt,3.50342398556e-05
compiler design,3.49746854987e-05
computability,3.13712447389e-05
lisp,3.13712447389e-05
kernels,3.13712447389e-05
ioi,3.13712447389e-05
formal methods,3.13179170733e-05
theory of computation,3.12645894078e-05
ocaml,2.84607375019e-05
concurrency,2.84607375019e-05
rust,2.84607375019e-05
financial security,2.84123573804e-05
compiler optimization,2.84123573804e-05
agile software development,2.8363977259e-05
tcp,2.60853145079e-05
imo,2.60853145079e-05
coupons,2.41052944429e-05
field theory,2.40643180984e-05
theoretical computer science,2.40233417538e-05
actionscript,2.24265071244e-05
international olympiad,2.23883845346e-05
parallel processing,2.23883845346e-05
vector calculus,2.23883845346e-05
hci,2.09829740332e-05
classics,2.09829740332e-05
groovy,2.09829740332e-05
managerial economics,2.09473052917e-05
multicore,1.97269889613e-05
tcl,1.97269889613e-05
automata,1.86231388355e-05
support vector machine,1.85598242759e-05
personal finance,1.76145500048e-05
markov chains,1.76145500048e-05
abstract algebra,1.76145500048e-05
supervised learning,1.76145500048e-05
science olympiad,1.67418990884e-05
multithreading,1.46268532505e-05
cognitive science,1.46019892187e-05
real analysis,1.46019892187e-05
refactoring,1.403618396e-05
quantum computing,1.347128843e-05
control theory,1.2512290242e-05
human computer interaction,1.24909845182e-05
combinatorial,1.21056767455e-05
relational database,1.20850984374e-05
mcmc,1.17076558189e-05
ecology,1.17076558189e-05
mechatronics,1.13364248734e-05
combinatorics,1.13364248734e-05
materials science,1.09706178301e-05
network management,1.09706178301e-05
covariance,1.03583234191e-05
forth,1.03583234191e-05
relational databases,1.03407154202e-05
complex analysis,1.03407154202e-05
ada,1.00706511875e-05
graph theory,1.00535321998e-05
data structure,1.00535321998e-05
gender,9.79935252028e-06
parallel computing,9.78269471054e-06
decomposition,9.54303458016e-06
theater,9.54303458016e-06
apex,9.07052732189e-06
algorithm design,9.05510843499e-06
anthropology,8.8522493665e-06
business economics,8.63004669066e-06
marathon,8.25893073696e-06
gpu,7.90760188557e-06
topology,7.90760188557e-06
cpu,7.74342434365e-06
mac os,7.57334111606e-06
information science,7.57334111606e-06
international relations,7.42295304203e-06
gui,6.89075656053e-06
computer security,6.87904304447e-06
pascal,6.6484194862e-06
management science,6.63711791652e-06
geography,6.31650198973e-06
biochemistry,6.31650198973e-06
probability theory,6.30576464327e-06
ml,6.01738856779e-06
game theory,5.82391930491e-06
scheme,5.66157504829e-06
moment,5.49957582107e-06
statistical computing,5.49022715918e-06
mean,5.27386389471e-06
social sciences,5.26489891823e-06
computer programming,4.99270665993e-06
julia,4.87555452846e-06
neuroscience,4.81515146641e-06
kaggle,4.75628072892e-06
error,4.64290483211e-06
information system,4.52728376564e-06
visual basic,4.47534106624e-06
database design,4.42461820261e-06
stock market,4.32666123792e-06
maths,4.19498941964e-06
public health,4.18785841078e-06
sample,3.9826683092e-06
bash,3.86560214215e-06
latency,3.68551380951e-06
politics,3.26229351865e-06
dollar,3.13437612536e-06
financing,2.94986079411e-06
currency,2.84545878983e-06
literature,2.84545878983e-06
leverage,2.78638389643e-06
digital media,2.78164736113e-06
predict,2.67548203085e-06
debt,2.11772763649e-06
file,1.99390462403e-06
estimation,1.85848456427e-06
systems engineering,1.85532535466e-06
economy,1.77817821065e-06
s,1.71172929346e-06
bayesian,1.61787283876e-06
loan,1.58078706185e-06
environmental,1.47924931458e-06
tax,1.45846458536e-06
survey,1.29914763507e-06
forex,1.24121279548e-06
time series,1.11660760818e-06
corporate finance,1.03653778487e-06
forecasting,8.63882111202e-07
regression,8.38206806658e-07
stocks,8.26747439371e-07
investment banking,6.6486469229e-07
financial engineering,5.64460807085e-07
futures,5.02408864919e-07
data analyst,4.60090841084e-07
