97724
company name:0.00886169211248
dates employed:0.00868773279849
employment duration:0.00868773279849
endorsements for:0.00611927469199
see more:0.00591461667554
and drag:0.0052699439237
to reorder:0.0052699439237
drag to:0.0052699439237
reorder skills:0.0052699439237
click and:0.0052699439237
more about:0.00493225819655
see description:0.00490155949409
description see:0.00490155949409
endorsed by:0.00463550407269
mos location:0.00424665384143
dates attended:0.0040522287258
attended or:0.0040522287258
expected graduation:0.0040522287258
or expected:0.0040522287258
field of:0.00387826941181
see all:0.00385780361017
degree name:0.00384757070934
of study:0.00383733780852
quantitative trader:0.00363267979207
any recommendations:0.00350988498219
see less:0.00331545986656
university of:0.00326429536245
new york:0.0029266096353
trader company:0.00253775940404
colleagues at:0.0024763619991
has a:0.00229216978429
– present:0.00218984077606
present employment:0.0021591420736
recommendations received:0.00212844337113
invitation sent:0.00212844337113
more actions:0.00212844337113
pending invitation:0.00212844337113
connect pending:0.00212844337113
connections connect:0.00212844337113
at this:0.00209774466866
skilled at:0.00209774466866
highly skilled:0.00209774466866
skills :0.00204658016455
 endorsements:0.00203634726372
featured skills:0.00203634726372
a account:0.0019340182555
duration 1:0.0018930866522
highlights experience:0.00188285375138
1 yr:0.00185215504891
received any:0.00182145634645
haven’t received:0.00182145634645
0 given:0.00182145634645
you haven’t:0.00182145634645
received 0:0.00182145634645
all following
:0.00181122344562
all see:0.00181122344562
skills recommendations:0.00172936023904
skill click:0.0017088944374
this skill:0.0017088944374
for this:0.0017088944374
duration 3:0.00169866153657
yet accomplishments:0.00168842863575
given any:0.00168842863575
given 0:0.00168842863575
recommendations yet:0.00168842863575
hasn’t given:0.00168842863575
skills view:0.0016679628341
more view:0.0016679628341
less see:0.00165772993328
less about:0.00165772993328
more skills:0.00164749703246
recommendations hasn’t:0.0015758667267
0 you:0.00155540092505
location greater:0.00154516802423
given endorsements:0.00151446932176
have given:0.00151446932176
this endorsed:0.00149400352012
trading llc:0.00149400352012
duration 2:0.00146330481765
york city:0.00143260611518
2 yrs:0.00128934550366
about quantitative:0.00128934550366
city area:0.00128934550366
greater new:0.00127911260284
connections have:0.00126887970202
employed jun:0.0012586468012
who is:0.0012586468012
in the:0.0012586468012
is highly:0.00124841390037
sent highlights:0.00123818099955
institute of:0.00122794809873
mos see:0.00120748229708
quantitative finance:0.00117678359461
of technology:0.00117678359461
experience quantitative:0.00115631779297
followers see:0.0011256190905
3 mos:0.00111538618968
duration 4:0.00110515328885
