97100
and drag to reorder skills:0.00530381050463
click and drag to reorder:0.00530381050463
see description see more about:0.00493305870237
dates attended or expected graduation:0.00407826982492
connections connect pending invitation sent:0.0021421215242
you haven’t received any recommendations:0.00183316168898
see all see all following
:0.00182286302781
for this skill click and:0.00171987641607
this skill click and drag:0.00171987641607
skill click and drag to:0.00171987641607
hasn’t given any recommendations yet:0.00169927909372
given any recommendations yet accomplishments:0.00169927909372
drag to reorder skills view:0.00167868177137
see less see less about:0.0016683831102
recommendations hasn’t given any recommendations:0.0015859938208
any recommendations hasn’t given any:0.00156539649846
recommendations received 0 given 0:0.00156539649846
received 0 given 0 you:0.00156539649846
received any recommendations hasn’t given:0.00156539649846
0 given 0 you haven’t:0.00156539649846
haven’t received any recommendations hasn’t:0.00156539649846
0 you haven’t received any:0.00156539649846
given 0 you haven’t received:0.00156539649846
endorsements for this skill click:0.00152420185376
given endorsements for this skill:0.00152420185376
have given endorsements for this:0.00152420185376
skilled at this endorsed by:0.00150360453141
highly skilled at this endorsed:0.00150360453141
skills recommendations received 0 given:0.00144181256437
more skills recommendations received 0:0.00138002059732
greater new york city area:0.00128733264676
connections have given endorsements for:0.00127703398558
who is highly skilled at:0.00124613800206
connect pending invitation sent highlights:0.00124613800206
is highly skilled at this:0.00124613800206
pending invitation sent highlights experience:0.00118434603502
followers see all see all:0.00113285272915
mos see description see more:0.0011122554068
500 connections connect pending invitation:0.00091658084449
500 500 connections connect pending:0.00091658084449
any recommendations yet accomplishments interests:0.000895983522142
are highly skilled at this:0.00086508753862
others who are highly skilled:0.00086508753862
who are highly skilled at:0.00086508753862
description see more about quantitative:0.000823892893924
location greater new york city:0.000803295571576
experience quantitative trader company name:0.000772399588054
invitation sent highlights experience quantitative:0.000720906282183
area see description see more:0.000720906282183
highlights experience quantitative trader company:0.000720906282183
members see all see all:0.000690010298661
engineering dates attended or expected:0.000628218331617
mos location greater new york:0.000607621009269
this click and drag to:0.000607621009269
highly skilled at this click:0.000607621009269
skilled at this click and:0.000607621009269
at this click and drag:0.000607621009269
sent highlights experience quantitative trader:0.000576725025747
moresee more of undefined summary:0.000576725025747
more of undefined summary highlights:0.000576725025747
see moresee more of undefined:0.000576725025747
drag to reorder skills trading:0.00053553038105
mos location greater chicago area:0.000504634397528
mathematics dates attended or expected:0.000494335736354
area 500 500 connections connect:0.000463439752832
less see less about quantitative:0.000463439752832
this endorsed by 2 of:0.000453141091658
at this endorsed by 2:0.000453141091658
science dates attended or expected:0.000453141091658
finance dates attended or expected:0.000453141091658
of undefined summary highlights experience:0.000442842430484
traders association cta  quant:0.00043254376931
stocks futures forex options 174858:0.00043254376931
quant funds system trading :0.00043254376931
 quant funds system trading:0.00043254376931
cta  quant funds system:0.00043254376931
trading  stocks futures forex:0.00043254376931
 stocks futures forex options:0.00043254376931
algorithmic traders association cta :0.00043254376931
association cta  quant funds:0.00043254376931
futures forex options 174858 members:0.00043254376931
system trading  stocks futures:0.00043254376931
funds system trading  stocks:0.00043254376931
employment duration 3 mos location:0.000411946446962
computer science dates attended or:0.000401647785788
1 other who is highly:0.000391349124614
and 1 other who is:0.000391349124614
field of study computer science:0.000391349124614
other who is highly skilled:0.000391349124614
2016 – present employment duration:0.000391349124614
skills  endorsements recommendations received:0.00038105046344
featured skills  endorsements recommendations:0.00038105046344
city area see description see:0.00038105046344
new york city area see:0.00038105046344
york city area see description:0.00038105046344
present employment duration 1 yr:0.000370751802266
– present employment duration 1:0.000370751802266
 endorsements recommendations received 0:0.000370751802266
endorsements recommendations received 0 given:0.000370751802266
mos location london united kingdom:0.000360453141092
– present employment duration 2:0.000339855818744
2014 – present employment duration:0.000339855818744
université pierre et marie curie:0.00032955715757
degree name master of science:0.000319258496395
employment duration 4 mos location:0.000319258496395
at this endorsed by 3:0.000319258496395
this endorsed by 3 of:0.000319258496395
sun trading llc dates employed:0.000308959835221
name sun trading llc dates:0.000308959835221
see less about quantitative trader:0.000308959835221
degree name phd field of:0.000308959835221
name phd field of study:0.000308959835221
– present employment duration 3:0.000308959835221
present employment duration 2 yrs:0.000308959835221
company name sun trading llc:0.000308959835221
to reorder skills trading see:0.000298661174047
featured skills  endorsements trading:0.000298661174047
present employment duration 3 yrs:0.000298661174047
education featured skills  endorsements:0.000298661174047
and 2 connections have given:0.000298661174047
group click and drag to:0.000298661174047
2 connections have given endorsements:0.000298661174047
more education featured skills :0.000288362512873
of study computer science dates:0.000288362512873
see more about quantitative trader:0.000288362512873
certification 1 expand certifications section:0.000288362512873
study computer science dates attended:0.000288362512873
llc click and drag to:0.000288362512873
1 certification 1 expand certifications:0.000288362512873
– present employment duration 5:0.000288362512873
has 1 certification 1 expand:0.000288362512873
