term,likelihood_ratio
marketmaker,6.57620922605
van,5.14304256283
en,5.06508492982
een,4.99169141881
het,4.49707279198
ik,4.32215864347
amsterdam,4.29550869277
bv,4.16446278301
netherlands,3.87500781685
sales,3.67606014626
marketing,3.58320262974
food,3.42694331441
cmc,3.31440123023
nashville,3.24345700025
op,3.24345700025
voor,3.19164673503
kentucky,3.15186461491
om,3.07567171336
mm4,3.011645582
als,3.011645582
healthcare,2.99801100201
bij,2.92717696658
te,2.91615142352
directeur,2.90888837739
dar,2.83859145643
die,2.83093498447
agriculture,2.79123900631
courtney,2.74551739747
mijn,2.74551739747
göran,2.74551739747
dennis,2.74316465736
graeme,2.64753225129
vermogensbeheer,2.64753225129
universiteit,2.55347277233
health,2.54556474317
erasmus,2.54415298995
zijn,2.54415298995
ag,2.50674839847
nederland,2.45482588102
rotterdam,2.44591991646
julius,2.44591991646
headstrong,2.44591991646
xchanging,2.4348241249
är,2.4348241249
aan,2.4348241249
relations,2.42457699337
broker,2.37920420101
de,2.37783204416
paul,2.33888536137
kris,2.33650002627
estate,2.32892797408
développeur,2.31890263567
insurance,2.21120849238
tn,2.19563878368
nuecura,2.19563878368
rene,2.19563878368
gina,2.19563878368
sale,2.163187674
owner,2.12951860323
albany,2.09797510168
interim,2.09797510168
rabobank,2.08637593243
contract,2.05895358183
accenture,2.05829592461
dutch,2.04255436355
erik,2.02826810874
ohio,2.02440677483
arun,2.01514355481
vrije,2.01514355481
riverside,2.00916875065
michel,1.99190022419
delivery,1.98124653345
practice,1.98124653345
3red,1.97299144727
saas,1.97299144727
strategic,1.97190459539
steel,1.96740365667
den,1.96740365667
hogeschool,1.94888811068
don,1.94888811068
executive,1.94625874127
nv,1.93291321199
nch,1.92339551987
kan,1.92339551987
roque,1.92339551987
andre,1.92339551987
ook,1.92339551987
för,1.92339551987
det,1.92339551987
sthree,1.92339551987
ns,1.92339551987
rob,1.91207673178
julie,1.9029333053
planning,1.89282857663
cfo,1.88709218382
advertising,1.83437020574
dealer,1.82810786978
stockholm,1.82472820014
managing,1.82253643627
public,1.81130037965
abn,1.8003170541
grant,1.79794422952
training,1.77904103893
cyber,1.77753397002
heeft,1.77211967408
ismael,1.77211967408
arjen,1.77211967408
farmers,1.77211967408
hij,1.77211967408
winterflood,1.77211967408
naples,1.77211967408
qea,1.77211967408
change,1.75423602105
annual,1.75372281537
iowa,1.73495087961
petra,1.72761588863
colorado,1.72434899257
cognizant,1.72427523405
negotiation,1.72163618829
att,1.72117139148
harry,1.72117139148
pune,1.71812329287
business,1.71607740801
clients,1.71269708463
customer,1.69503646823
jeffrey,1.68577324967
dat,1.67899983031
community,1.67746440698
amro,1.66491928189
social,1.65699729566
devops,1.63598992725
partner,1.63153168652
companies,1.62552401436
executives,1.6190711128
commercial,1.61248539313
plant,1.60880796106
1533830,1.60880796106
raghuveer,1.60880796106
baylor,1.60880796106
achal,1.60880796106
monmouth,1.60880796106
jolanda,1.60880796106
arkansas,1.60880796106
och,1.60880796106
goed,1.60880796106
rrc,1.60880796106
wesley,1.60880796106
y,1.60278031184
holland,1.59581987763
sweden,1.59444399071
roger,1.58856042089
transport,1.58856042089
coordinator,1.58245772939
startups,1.57750676995
agricultural,1.57266996775
1986,1.57095312813
private,1.56585404143
richard,1.55954639836
director,1.55903423704
client,1.55569205787
events,1.5473244669
accounts,1.53111590681
territory,1.52102306188
till,1.52102306188
coach,1.50068402461
board,1.49011772517
silver,1.49000384507
1982,1.48780353451
care,1.47818235841
talent,1.47523905403
brokerage,1.47357074913
extension,1.47357074913
met,1.47028723726
texas,1.46010523654
rural,1.45336679997
services,1.45044352722
sourcing,1.44101434938
ron,1.44101434938
proud,1.43330877812
support,1.43317475596
tilney,1.43160061653
gft,1.43160061653
damteq,1.43160061653
staat,1.43160061653
d66,1.43160061653
på,1.43160061653
panalpina,1.43160061653
bas,1.43160061653
comunytek,1.43160061653
belarmino,1.43160061653
klinkenberg,1.43160061653
planit,1.43160061653
nes,1.43160061653
anu,1.43160061653
niet,1.43160061653
real,1.43102951072
brazil,1.42976476817
specialist,1.42639133386
media,1.40865708413
resources,1.40720710448
1984,1.40614670997
agency,1.40464391942
tony,1.39477979624
internet,1.38948559447
country,1.37714875709
army,1.37714875709
1978,1.36768839875
groupe,1.36768839875
euronext,1.36626277594
copenhagen,1.36626277594
event,1.36350542514
europe,1.34805173349
romania,1.3459089791
bristol,1.3459089791
mystery,1.3459089791
options,1.34348004633
over,1.33704379534
professional,1.33696243648
qa,1.32994780226
chairman,1.32334966028
uk,1.31820726733
zürich,1.31273689793
crm,1.31084866604
relationships,1.30440574314
metals,1.29641131711
service,1.29209920468
manager,1.28542798766
chez,1.28251259274
1989,1.27523488328
telecommunications,1.27493484152
growth,1.27315290661
regional,1.27224325812
terry,1.27224325812
1987,1.26282740655
businesses,1.24594442183
landscape,1.24559979438
bojan,1.24559979438
local,1.24136192947
testing,1.23984666761
international,1.23963600151
som,1.23818221898
beachbody,1.23818221898
uit,1.23818221898
follett,1.23818221898
1533859,1.23818221898
jag,1.23818221898
1533871,1.23818221898
1533877,1.23818221898
norway,1.23818221898
chyilyi,1.23818221898
adviseur,1.23818221898
createch,1.23818221898
colonnade,1.23818221898
ze,1.23818221898
aberfeld,1.23818221898
denise,1.23818221898
isu,1.23818221898
mk,1.23818221898
boone,1.23818221898
1533829,1.23818221898
dex,1.23818221898
så,1.23818221898
shaina,1.23818221898
transformation,1.23656777217
outsourcing,1.23656777217
college,1.23094755601
sports,1.22662559934
programs,1.22511637882
communication,1.22473248233
leader,1.21615062683
ceo,1.21521209441
active,1.2140625417
acceptance,1.20383073968
plans,1.20058615358
united,1.20049274948
urban,1.19792238809
state,1.19659856238
francis,1.19287411022
switzerland,1.18028396907
region,1.1745868574
kingdom,1.16205768192
stuart,1.16032447666
pathfinder,1.15848395916
editing,1.15848395916
nordic,1.15848395916
nbc,1.15848395916
genpact,1.15848395916
amy,1.15193961491
precious,1.15193961491
london,1.14771787134
antoine,1.14470296288
universal,1.14419131497
kbc,1.14419131497
speaking,1.14011928363
it,1.12124447491
markets,1.11959482661
our,1.11768971336
revenue,1.10978236615
liked,1.10287358319
marketer,1.10050448475
digital,1.09991459156
eurex,1.09778271555
outreach,1.09778271555
trainer,1.09778271555
1993,1.0935201125
best,1.09248238507
president,1.09209942823
was,1.09075650012
mine,1.09056253884
shopping,1.09056253884
1985,1.08956311174
nijmegen,1.08914032641
mems,1.08914032641
tot,1.08914032641
glen,1.08914032641
utrecht,1.08914032641
achieve,1.08763646357
programme,1.08763646357
management,1.08431364072
31,1.07877663066
ing,1.07874014154
we,1.07553352984
human,1.07552427114
the,1.07315535655
e,1.07044499826
creative,1.06942279411
diligence,1.06820905465
scrum,1.06567242383
green,1.0640225061
program,1.06346288951
entrepreneurship,1.06297290858
brand,1.05979341402
agile,1.05440544358
online,1.05255627919
