term,likelihood_ratio
software,2.8244583321
google,2.74011371302
javascript,2.5357790839
web,2.46730420322
ruby,2.43033019182
distributed,2.42451053935
francisco,2.38573070662
san,2.37874269217
facebook,2.26827074962
amazon,2.25288331385
rails,2.2440173741
bay,2.21998541272
twitter,2.17910340489
uber,2.17895206858
mobile,2.17698615393
android,2.15902802704
code,2.09314155156
netflix,1.98991630768
engineer,1.97633734435
ios,1.97367089392
seattle,1.97031788683
apache,1.95071322592
ca,1.89765414458
app,1.86682742732
game,1.85170659775
games,1.82678545803
developer,1.82067982093
css,1.81516202234
linux,1.79245410989
staff,1.77425341548
java,1.75810930964
pinterest,1.75781566606
docker,1.75646173786
backend,1.75585491949
computer,1.75143243177
patents,1.74399162169
nodejs,1.74164398285
user,1.71406000784
mountain,1.71058269099
fullstack,1.7004706433
scalability,1.68697851056
source,1.68375403917
salesforce,1.6773499553
design,1.67721365001
embedded,1.67696142928
airbnb,1.65708932881
again,1.63755647835
apple,1.63111949481
development,1.62715303903
html,1.62370962486
graphics,1.61761661795
lead,1.60155627936
cloud,1.59915277289
video,1.59770756183
zoosk,1.58391692441
hes,1.58123323303
snapchat,1.57544868542
waterloo,1.57063766024
frontend,1.55420373486
santa,1.55238839235
labs,1.55068511186
efren,1.54620045727
dima,1.54620045727
hackbright,1.54620045727
mysql,1.54253613578
acm,1.53962780843
studios,1.52646119916
python,1.50209023416
california,1.48574612874
technical,1.48493380008
technologies,1.48152663612
same,1.48083363017
projects,1.47054142942
objectivec,1.46330696299
git,1.46152689623
programming,1.45202507189
hadoop,1.44789291099
tech,1.44768906262
architecture,1.44601120968
open,1.44391819335
work,1.4425250603
worked,1.44004437723
ive,1.43607937828
rest,1.4290276578
applications,1.42697602056
scalable,1.42301678603
she,1.42083062951
product,1.41922033991
hat,1.41751884179
problems,1.41682424174
women,1.41677365995
agile,1.41587959937
jquery,1.40988211646
always,1.40898152063
stack,1.40553299457
passionate,1.40502105982
object,1.40178638648
he,1.40072085204
security,1.39744807724
him,1.3967964174
engineers,1.39539278521
1533735,1.39337813433
things,1.39218669442
vancouver,1.39218669442
that,1.38958985407
algorithms,1.37642133903
storage,1.37428786497
hp,1.37428786497
search,1.37323917014
dojo,1.36833319352
engineering,1.36563340342
application,1.36150903861
im,1.35889421677
reality,1.35842194323
on,1.35492990192
inc,1.35382284055
scala,1.35328743193
entertainment,1.35258470806
developers,1.34759811881
architect,1.34524809445
jet,1.342322418
users,1.34057751182
palo,1.33961963237
alto,1.33961963237
infrastructure,1.33839475559
academy,1.33717480531
with,1.33428539495
mongodb,1.33383037807
shopify,1.33254233999
yahoo,1.32686204898
teams,1.3264006509
mikhail,1.32438759633
love,1.32363224106
working,1.31908966233
loris,1.31527794133
platform,1.30365622909
out,1.30325166809
would,1.29685171563
methodologies,1.29670841492
senior,1.29411862831
team,1.29173450315
apps,1.28953968732
aws,1.28747187517
systems,1.2866130472
i,1.28284086987
was,1.28004982232
quickly,1.27953066552
karin,1.27875004766
wa,1.27875004766
hack,1.27875004766
his,1.27519667467
great,1.27148464631
amazing,1.27066806514
ui,1.26656397369
is,1.26182355129
our,1.26150928835
chrome,1.25777974891
django,1.25777974891
opengl,1.25777974891
seth,1.25777974891
recommend,1.25618068722
her,1.25555000332
when,1.25210949622
recommendation,1.25125029592
murat,1.25023691025
directly,1.24834477313
opensource,1.24430122664
scale,1.24397242886
linkedin,1.24301681624
had,1.24134597038
one,1.23364885619
sharif,1.23337712155
learn,1.22985884272
github,1.22912959021
really,1.22853927076
cloudera,1.22715038716
microsoft,1.22137239646
epic,1.22054138462
nosql,1.22054138462
principal,1.21978794183
can,1.2119753274
not,1.21096882411
computing,1.20865201933
just,1.2079258268
go,1.20765089046
science,1.20677800589
ashwin,1.20657706316
foundation,1.20547997885
helped,1.2054526707
around,1.20494242755
better,1.2032830757
others,1.20126490782
c,1.20041704819
idme,1.19513339048
blizzard,1.19513339048
a,1.19234804357
problem,1.18542095583
tools,1.18434735977
postgresql,1.18277002307
way,1.17342313168
building,1.1666261213
but,1.16577139408
studio,1.16494181305
neumont,1.16161295664
menlo,1.15815579555
are,1.15658514861
build,1.15429695311
the,1.15194170514
hacker,1.1518328589
stanford,1.14868648295
best,1.14353409448
people,1.1420364658
server,1.13939710356
brandon,1.13906660547
at,1.13590663525
very,1.13463921905
employees,1.13375578017
structures,1.13258491174
php,1.1299801623
features,1.1299801623
to,1.12809339408
lukasz,1.12645869726
cassidy,1.12645869726
ea,1.12645869726
my,1.12602242655
pleasure,1.12507907719
3d,1.12404044496
make,1.12394943982
instagram,1.12342054987
vr,1.12180270723
subversion,1.12180270723
done,1.12173826272
ux,1.12127273865
unity,1.12127273865
good,1.12053493118
an,1.12043557437
what,1.11865139294
cto,1.11811067353
solve,1.11747307667
2017,1.11491905313
even,1.11293152462
british,1.11024308073
hiring,1.10891010676
most,1.1015354237
id,1.10083799692
propulsion,1.10083799692
danny,1.09769165119
end,1.09725318549
it,1.09471739576
media,1.09330109956
manage,1.09259216921
who,1.09088086231
yelp,1.08952311664
♦,1.08952311664
sundog,1.08952311664
mozilla,1.08952311664
edinei,1.08952311664
godaddy,1.08952311664
api,1.08927033275
square,1.08859013729
by,1.08853072956
heath,1.08799950586
every,1.08796193707
endorsed,1.08735858437
mentor,1.08693771673
publications,1.08683715594
oracle,1.08639612751
publication,1.08200662556
highly,1.08140257996
me,1.07998071379
music,1.07824335048
berkeley,1.07814146271
able,1.07609877596
feature,1.07260935689
frameworks,1.07260935689
into,1.07110876753
red,1.06738243818
ability,1.06616434897
didn’t,1.06607276439
as,1.06551531668
christian,1.06535698323
victor,1.0645717962
assembly,1.06448442876
nick,1.064242673
were,1.06199966645
project,1.06159091509
azure,1.05930562364
quality,1.05904355179
skilled,1.05143657384
sde,1.05083568833
nora,1.05063852491
ajax,1.05063852491
behdad,1.05063852491
dalibor,1.05063852491
kamilah,1.05063852491
together,1.05021872633
them,1.04901970268
july,1.04509930652
also,1.04462218548
april,1.04427348185
big,1.04404483291
i’m,1.04341035098
vision,1.04264416008
many,1.03911276573
colleagues,1.03805793366
mission,1.0376848795
daniel,1.0339603864
2015,1.03204032049
community,1.03020527745
virginia,1.02939860725
introduction,1.02564226434
ottawa,1.02484450761
hard,1.02453604718
adobe,1.0232703231
person,1.02266924738
learning,1.02244806067
language,1.01995368921
net,1.01719073421
pivotal,1.01495839344
redmond,1.01495839344
aaron,1.01331240351
quantcast,1.01177215054
kristine,1.01177215054
mobify,1.00961322603
aideen,1.00961322603
digitalocean,1.00961322603
we,1.00938502131
solving,1.00862057538
be,1.00847244798
networks,1.00841452257
in,1.00819167213
put,1.00612033266
up,1.00327727238
take,1.00107338237
being,1.00090370839
awesome,1.0003317588
march,0.999531067824
do,0.999293167706
feedback,0.998717499131
experiences,0.995716469678
arts,0.994122710432
how,0.992281973328
few,0.990622054658
other,0.98989576104
cofounder,0.989664664646
help,0.989175097865
processing,0.989066169337
section,0.988710355309
expand,0.988681092096
angularjs,0.987665123037
interface,0.987150614801
challenges,0.984940957169
and,0.982347642856
about,0.982063314009
ivan,0.981871206323
robotics,0.981871206323
cody,0.981587808519
tripadvisor,0.981587808519
diversity,0.981587808519
laboratory,0.980049545555
victoria,0.979280631928
2016,0.977386766013
dev,0.975845549306
view,0.975781602336
devices,0.97515741418
intel,0.974746488964
technically,0.974166547267
html5,0.970630739279
loves,0.970630739279
slack,0.970630739279
content,0.969577297657
rd,0.968842328259
shawn,0.966825782614
without,0.966624300125
write,0.966340484219
tanel,0.966226766878
amazoncom,0.966226766878
kurtis,0.966226766878
1533743,0.966226766878
hashicorp,0.966226766878
tcpip,0.966226766878
badrul,0.966226766878
canada,0.964877216433
like,0.962370683436
easy,0.961619760677
look,0.959334009395
sage,0.958423887693
productive,0.958243021092
