term,likelihood_ratio
algorithmic trader,3.52910439703
jump trading,3.19717460015
gelber group,2.95586508293
group llc,2.79314649876
experience algorithmic,2.73378789975
tower research,2.57013070049
research capital,2.56516133913
algorithmic trading,2.55216830009
at jump,2.55019801483
trading llc,2.53224373321
maksim berdnik,2.49496318386
name jump,2.46415544621
berdnik and,2.37390577137
trader at,2.3699222764
about algorithmic,2.28062963352
indian institute,2.26565832043
transmarket group,2.25059809729
llc 8658,2.20055529469
llc jump,2.19688285899
trader company,2.15994768332
trading group,2.1587618133
highlights featured,2.15666697909
trading systems,2.11891262081
at gelber,2.11222393804
drw trading,2.10310025162
technology delhi,2.09616775673
8658 followers,2.0932025102
electronic trading,2.04903182379
yet interests,2.04311899164
name gelber,2.01070971992
llc dates,1.9805083004
trading see,1.92971578046
high frequency,1.91918529455
technology kanpur,1.8874448333
deutsche bank,1.86863439862
 algorithmic,1.8644569504
for trading,1.86082737971
chicago illinois,1.84800789705
epoch capital,1.84487500751
at tower,1.84166594871
options 174857,1.81786065878
174857 members,1.81786065878
capital tower,1.80765698204
allston trading,1.78324796003
frequency trading,1.77294428077
market making,1.76762002254
name drw,1.75543398787
at drw,1.74186181034
trading 35342,1.73098813374
trading endorsed,1.71634797607
greater chicago,1.71575648677
chicago area,1.71357958765
trading strategies,1.71062614965
name tower,1.70534800732
35342 members,1.69987484674
followers algorithmic,1.69535670335
skills trading,1.67852414706
followers indian,1.66889214253
endorsements trading,1.66595551691
location chicago,1.65082587177
of technology,1.64986125442
name transmarket,1.64517957347
followers jump,1.63682272689
77554 members,1.62391863443
trading 77554,1.62391863443
geneva trading,1.62387249818
institute of,1.60463707225
experience trader,1.55481509296
algo trader,1.55316419831
goldman sachs,1.54931965841
trader ,1.53472507009
massachusetts institute,1.53173700095
and algorithmic,1.52803408022
network 15544,1.52448388407
15544 members,1.52448388407
algorithmic traders,1.52145144949
traders association,1.52145144949
about trader,1.50901166641
booth school,1.49988046053
education indian,1.49726717222
quant trader,1.49492956751
automated trading,1.48520620069
llc gelber,1.48470931087
of chicago,1.46871907614
capital dates,1.45729988453
chicago il,1.45314860876
illinois 500,1.45032141741
northwestern university,1.44915120801
for electronic,1.44674032946
international group,1.44421590778
susquehanna international,1.44421590778
options 174855,1.44306703984
174855 members,1.44306703984
at transmarket,1.44133790138
investment bank,1.44099318909
trading click,1.43867421725
capital 11305,1.43640275931
trading ,1.43150624604
trading intern,1.41276930807
two sigma,1.40456220747
trader intern,1.40377025053
57938 members,1.39939509167
group 57938,1.39939509167
statistical arbitrage,1.39768208383
htg capital,1.39639087221
of algorithmic,1.39454491304
llc transmarket,1.39361090443
 quant,1.37395321124
11305 followers,1.37171754234
llc university,1.37088822434
proprietary trading,1.36717820754
at ubs,1.36365787319
university chicago,1.35977511394
