term,likelihood_ratio
financial engineer,2.80749003575
fannie mae,2.5729319836
first derivatives,2.40440673761
experience financial,2.26792499732
credit risk,2.21734827458
senior financial,2.18780822367
about financial,2.10400742006
moodys analytics,2.10045564891
name fannie,2.08834655438
mae dates,2.06728808399
at fannie,2.02148714916
risk management,2.01536447997
financial engineering,1.96682230677
market risk,1.96303090556
name moodys,1.89174842847
risk analytics,1.88679171763
toronto canada,1.85067781395
financial risk,1.84342663201
location toronto,1.83302731013
washington dc,1.82332712362
moodys investors,1.81279998668
bloomberg lp,1.8115500457
dc metro,1.79724662783
investors service,1.79686162031
at first,1.78433091723
metro area,1.78316581669
of toronto,1.76624190785
financial modeling,1.74797236275
sp capital,1.72712639862
risk see,1.70953001184
analytics dates,1.67495722864
derivatives dates,1.67202962579
of financial,1.6325930967
queens university,1.62467145011
for financial,1.62334518931
capital markets,1.62327956659
global market,1.62313682409
university belfast,1.61145793077
financial analysis,1.61057865848
capital iq,1.60783271734
sp global,1.57475686372
mae click,1.57475686372
market intelligence,1.57475686372
moody’s analytics,1.57475686372
name first,1.57267598977
for risk,1.56238944057
at moodys,1.5619292163
name algorithmics,1.56137239961
financial group,1.56137239961
location washington,1.56093463075
ibm risk,1.54878318345
financial analyst,1.53570371378
mathematical finance,1.53467680465
study financial,1.53044593523
monte carlo,1.52312231675
name scotiabank,1.52208231715
mcmaster university,1.51211519587
at sp,1.50728947843
york university,1.50625338638
model validation,1.49271972915
financial technologies,1.49271972915
at bloomberg,1.49213040899
quantitative finance,1.46816728578
mae fannie,1.46236474422
canada area,1.45742506758
associate financial,1.45324398363
analytics click,1.44962954879
bmo financial,1.44653909731
sr financial,1.43812807752
fixed income,1.43152746401
quantitative analytics,1.4276646876
scotiabank global,1.41347910366
derivatives click,1.40963826719
rbc capital,1.38444014262
corporate finance,1.38137779973
risk endorsed,1.38043259795
finance see,1.37434709226
modeling see,1.37162770648
université laval,1.35997613476
skills financial,1.35618660089
interest rate,1.34857537015
and risk,1.34574597109
toronto degree,1.34174886932
an ibm,1.34097895323
ibm company,1.34097895323
scotiabank dates,1.32966408132
counterparty credit,1.32134319492
r2 financial,1.32134319492
microsoft excel,1.31843344598
global banking,1.30755126399
name sp,1.30103006802
algorithmics an,1.30103006802
derivatives first,1.30103006802
data analysis,1.29735887061
in finance,1.29735491429
lp click,1.29644662902
skills risk,1.29644662902
model risk,1.29036939929
at scotiabank,1.29036939929
analysis see,1.28048229831
schulich school,1.27999728154
for quantitative,1.27895261117
modeling endorsed,1.27777549427
masters degree,1.27384536382
finance endorsed,1.26830931701
intelligence click,1.2661018787
and markets,1.26326390522
structured finance,1.25998873001
bank of,1.25772182633
in financial,1.25074144337
languages chinese,1.24682468653
banking and,1.24215634623
front office,1.2407631272
senior manager,1.23955972077
chicago trading,1.23955972077
credit derivatives,1.23601100591
business analyst,1.23583302404
at numerix,1.23558344541
banking ,1.23193842524
area financial,1.22621659986
financial institutions,1.22136269626
risk analyst,1.21960086897
calypso technology,1.21831141916
degree field,1.21591997768
endorsements financial,1.21111511437
financial services,1.20744659089
international association,1.20326486544
analyst company,1.20176849038
name bloomberg,1.1992892837
of risk,1.19555871538
portfolio management,1.19040906077
engineer first,1.18767540696
engineer manager,1.18767540696
chinese english,1.18742762553
carlo simulation,1.18461920011
financial mathematics,1.18291642921
and investment,1.18254512297
canada ,1.17944293448
management endorsed,1.17728292472
 rotman,1.1767834335
study finance,1.17437911856
stress testing,1.17267920168
school of,1.17008879393
ihs markit,1.1622535384
finance dates,1.16129103517
for credit,1.15469129063
name rbc,1.15341547604
rotman school,1.15150554388
enterprise risk,1.14892902524
toronto ontario,1.14878862055
modeling and,1.14739314364
risk and,1.13670900385
capital market,1.13665484613
at fincad,1.13575545047
analytics ,1.13422655252
toronto ,1.13353951307
chartered financial,1.13237074193
study mathematical,1.13099907678
 financial,1.13063185937
analytics company,1.13003885868
finance and,1.12914380949
management see,1.12803443117
and financial,1.12392296513
new york,1.12011136056
service dates,1.11939683553
risk professionals,1.11939683553
business ,1.11372021312
senior analyst,1.11144503562
skills quantitative,1.10782858087
of management,1.10459728136
china see,1.10426815862
algorithmics dates,1.10212978993
basel ii,1.10212978993
quantitative analyst,1.09973814846
master of,1.09815613982
income see,1.09810183238
of business,1.09433903379
mos financial,1.09172235091
for microsoft,1.090737091
name master,1.09001844237
investment banking,1.08911266606
of maryland,1.08802356402
risk manager,1.08789063549
illinois institute,1.08661386497
 sgcib,1.08105563975
followers fannie,1.07918676565
college cork,1.07918676565
 york,1.07918676565
engineer moodys,1.07918676565
have given,1.0784742215
mathematics dates,1.07830211888
given endorsements,1.07793210389
degree name,1.07628404284
derivatives see,1.07618038508
lead financial,1.07416726869
of finance,1.07375364306
city china,1.07200364196
university of,1.07164954004
iq dates,1.07054372591
for this,1.0686481385
for fixed,1.06830265739
risk ,1.06760358004
name masters,1.06555539603
factset research,1.06520811956
microsoft office,1.06458216654
this skill,1.06343115416
skill click,1.06343115416
asset management,1.06080571398
structured products,1.06031282883
of study,1.05826921151
vba see,1.05741934462
connections have,1.05422712218
at ibm,1.0541907862
field of,1.05321637637
at moody’s,1.04891833014
skills fixed,1.04699933447
skills microsoft,1.04611366764
time series,1.04433066437
endorsements risk,1.04236501414
research systems,1.04135494408
toronto see,1.04081259013
global association,1.04081259013
college dublin,1.04047527719
generale corporate,1.03364727054
of new,1.03158602554
dates attended,1.02866673628
or expected,1.02866673628
attended or,1.02866673628
expected graduation,1.02866673628
for derivatives,1.02756999906
applied mathematics,1.02658427288
corporate and,1.02380667983
societe generale,1.02087935029
and credit,1.01870045423
td bank,1.01717457073
name td,1.01717457073
skills credit,1.01717457073
name numerix,1.01717457073
markit ,1.01717457073
professional risk,1.01717457073
endorsements derivatives,1.01689075102
hec montréal,1.01499094054
endorsements for,1.01364733656
smith school,1.01297030571
of canada,1.01277367322
management and,1.01262933101
of china,1.00676986592
of science,1.00441412758
ontario canada,1.00347511289
johns hopkins,1.00132816033
business school,1.00016296603
the financial,0.999342502023
york city,0.997684867848
lp dates,0.997307287271
experience associate,0.994039484461
engineer ,0.993752245946
co ltd,0.991198392108
at factset,0.984372838961
cfa frm,0.984372838961
models for,0.98435715846
northern ireland,0.983822300604
hull tactical,0.983822300604
engineer fannie,0.983822300604
derivatives plc,0.983822300604
analytics moodys,0.983822300604
for vba,0.983047385674
risk modeling,0.982446523175
scotiabank click,0.982446523175
balyasny asset,0.982265297453
risk company,0.982265297453
toronto dates,0.982265297453
phd and,0.979821824627
fraser university,0.978621081506
