term,likelihood_ratio
marketmaker company name,3.57187654724
amsterdam area netherlands,2.91352477742
bv dates employed,2.33639097062
an xchanging company,2.31879441496
 an xchanging,2.31879441496
location amsterdam area,2.25291417256
greater nashville area,2.06405509652
university of kentucky,1.99179286036
netherlands 500 500,1.92330582517
company name marketmaker,1.92330582517
more about marketmaker,1.92330582517
nuecura partners llc,1.92330582517
netherlands see description,1.82529001874
vrije universiteit amsterdam,1.80023307449
area netherlands see,1.7750665986
nashville area tn,1.77203707084
marketmaker dates employed,1.77203707084
area netherlands 500,1.77203707084
mm4  an,1.77203707084
partner company name,1.74072943659
ag dates employed,1.72155586191
about managing director,1.61899556102
location greater nashville,1.60873301659
endorsements for management,1.60810892345
iowa state university,1.55711852572
mos location amsterdam,1.52998513102
general investment management,1.51871439212
business development see,1.43891027539
nes global talent,1.43153398591
endorsements for marketing,1.43153398591
erasmus university rotterdam,1.43153398591
was a client,1.38405031656
a client of,1.37015388207
of study marketing,1.36762468915
endorsements for business,1.3459940499
managing director ,1.27616940114
at different companies,1.26224507798
yrs location amsterdam,1.23812466655
klinkenberg traders bv,1.23812466655
senior test analyst,1.23812466655
university of bristol,1.23812466655
nordic data resources,1.23812466655
college law school,1.23812466655
pulse 1533871 followers,1.23812466655
pulse 1533830 followers,1.23812466655
boston college law,1.23812466655
markets click and,1.21900049624
but at different,1.21763410433
reorder skills business,1.19786653265
languages dutch english,1.1928185459
endorsements for public,1.19260340881
mos location zürich,1.16240198519
 general investment,1.15843011201
more about managing,1.1518859265
manager company name,1.14617871098
section languages dutch,1.10045322425
senior vice president,1.10045322425
for business development,1.08908970312
dutch english french,1.08908970312
business development specialist,1.08908970312
employed 2003 –,1.06815924938
dates employed 2003,1.06815924938
more recommendations recommendations,1.06352204404
more recommendations view,1.06352204404
yrs see description,1.04957653051
cognizant technology solutions,1.04200499205
director company name,1.03954976243
united kingdom see,1.03439059019
kingdom see description,1.0323056389
amsterdam vu amsterdam,1.02814835612
universiteit amsterdam vu,1.02814835612
national bank financial,1.02814835612
school meal day,1.0255728855
strategy endorsed by,1.0255728855
real estate development,1.0255728855
amsterdam field of,1.0255728855
bizex business brokers,1.0255728855
colorado department of,1.0255728855
american college of,1.0255728855
follett school solutions,1.0255728855
pulse 1533829 followers,1.0255728855
highlights experience marketmaker,1.0255728855
city of monmouth,1.0255728855
tn see description,1.0255728855
department of agriculture,1.0255728855
colorado proud school,1.0255728855
nch healthcare system,1.0255728855
proud school meal,1.0255728855
options trader company,1.02211403522
reorder skills management,1.02211403522
texas am university,1.01648840504
sales company name,0.997897385702
owner company name,0.987217346315
accomplishments interests pulse,0.976243264832
legal  general,0.974122087684
expected graduation 1982,0.957599871534
graduation 1982 –,0.957599871534
london united kingdom,0.95557433462
endorsements for sales,0.954148094594
headstrong capital markets,0.954148094594
colleagues at all,0.954148094594
broker company name,0.954148094594
at all options,0.954148094594
genpact headstrong capital,0.954148094594
all options click,0.954148094594
executive company name,0.925862744985
1999 employment duration,0.920771903207
view 31 more,0.913197688055
zürich area switzerland,0.908044687414
for this skill,0.903848783778
skill click and,0.903848783778
this skill click,0.903848783778
view 1 more,0.902046798726
location stockholm sweden,0.892732302288
abn amro bank,0.892732302288
business development and,0.892732302288
of equity trading,0.892732302288
connections have given,0.89058368418
have given endorsements,0.885513093565
endorsements for this,0.885513093565
given endorsements for,0.885513093565
options click and,0.882467130435
endorsements recommendations received,0.873982399958
 endorsements recommendations,0.873982399958
financial markets see,0.863880896771
yrs 6 mos,0.835541632048
of study business,0.826522408902
view 47 more,0.826493433154
more about director,0.821882643457
board of directors,0.821261579284
president company name,0.816668616168
present employment duration,0.81487136493
– present employment,0.81487136493
highlights follow follow,0.813517434448
follow follow entityname,0.813517434448
see all activity,0.812372640498
location london united,0.811831149108
1 more recommendation,0.809371532219
for financial markets,0.804164515303
employment duration 12,0.804164515303
location zürich area,0.798739562763
coordinator company name,0.798739562763
company name texas,0.792332001335
endorsements for startups,0.792332001335
has 1 media,0.79170924228
1 this position,0.79170924228
position has 1,0.79170924228
media 1 this,0.79170924228
commerce capital partners,0.790090041976
area tn see,0.790090041976
university at albany,0.790090041976
more actions rob,0.790090041976
cofounder  partner,0.790090041976
of community development,0.790090041976
rob has a,0.790090041976
planit software testing,0.790090041976
university college of,0.790090041976
utrecht area netherlands,0.790090041976
of illinois system,0.790090041976
actions rob has,0.790090041976
name cmc markets,0.790090041976
– qea practice,0.790090041976
director of community,0.790090041976
company name cmc,0.790090041976
xchanging company dates,0.790090041976
paradise is mine,0.790090041976
dates employed jan,0.786465816365
mos location london,0.782857613103
skills  endorsements,0.778415264053
featured skills ,0.778415264053
duration 12 yrs,0.778234585581
university school of,0.778234585581
connections connect pending,0.777146953864
pending invitation sent,0.777146953864
connect pending invitation,0.777146953864
description see more,0.774290536075
see more about,0.774290536075
see description see,0.774290536075
moresee more of,0.774140230655
see moresee more,0.774140230655
undefined summary highlights,0.774140230655
of undefined summary,0.774140230655
more of undefined,0.774140230655
4 connections have,0.767032558352
and 4 connections,0.767032558352
duration 10 yrs,0.765092861514
summary highlights follow,0.760917759778
click and drag,0.758853593456
to reorder skills,0.758853593456
and drag to,0.758853593456
drag to reorder,0.758853593456
this see all,0.758389526024
shared this see,0.758389526024
yet accomplishments interests,0.757967385054
duration 5 yrs,0.756614406888
has a account,0.755489188367
of southern california,0.752429497471
university of southern,0.752429497471
marketing dates attended,0.75069721085
more about executive,0.75069721085
view 43 more,0.744991408113
michigan state university,0.744991408113
linkedin influencer founder,0.737659629593
all activity experience,0.732382893936
reorder skills sales,0.730117928423
nv dates employed,0.730117928423
senior managing director,0.730117928423
madrid area spain,0.730117928423
futures  options,0.730117928423
highlights experience owner,0.730117928423
recommendations recommendations accomplishments,0.729850215262
managing director company,0.727533862339
greater atlanta area,0.727533862339
you haven’t received,0.727445380972
recommendations received 0,0.727445380972
received 0 given,0.727445380972
haven’t received any,0.727445380972
received any recommendations,0.727445380972
yrs 1 mo,0.727208971704
expected graduation 1989,0.721901230662
graduation 1989 –,0.721901230662
i have been,0.721850870458
graduate school of,0.721850870458
less about managing,0.713506642625
college field of,0.713506642625
yrs 5 mos,0.707098915654
see more positions,0.705072444232
2 more recommendations,0.698896736119
this position has,0.697146612907
– present volunteer,0.696594911219
present volunteer duration,0.696594911219
invitation sent highlights,0.696262079904
given 0 you,0.696214458506
0 you haven’t,0.696214458506
any recommendations hasn’t,0.696214458506
0 given 0,0.696214458506
dates employed nov,0.694369207831
endorsements for options,0.693848048152
duration 3 yrs,0.69206042563
london see description,0.691956875194
recommendations hasn’t given,0.689203005331
solutions dates employed,0.687057378309
more positions education,0.685035070551
given any recommendations,0.684481094676
hasn’t given any,0.684481094676
any recommendations yet,0.68377131107
skills recommendations received,0.68101340271
was senior to,0.679337683111
but didn’t manage,0.679337683111
didn’t manage directly,0.679337683111
vanderbilt university ,0.679269742876
of the board,0.679269742876
 owen graduate,0.679269742876
head of risk,0.679269742876
owen graduate school,0.679269742876
