term,likelihood_ratio
quantitative trader company,5.08281859349
experience quantitative trader,4.60946135349
sun trading llc,4.49534658898
quantitative trader at,4.22824994109
about quantitative trader,4.12146930906
highlights experience quantitative,4.05336483446
options 174858 members,3.84956618106
forex options 174858,3.84956618106
less about quantitative,3.04622251441
name sun trading,3.01386378222
quantitative trader ,3.00709892312
at sun trading,2.93598628527
more about quantitative,2.92557617277
company name sun,2.80152487612
et marie curie,2.75322686957
pierre et marie,2.75322686957
université pierre et,2.75322686957
marie curie paris,2.48580984902
curie paris vi,2.48580984902
trader company name,2.43889801737
network 15545 members,2.34578512597
arbitrage network 15545,2.34578512597
liquid capital group,2.15577041609
imc financial markets,2.13505340886
quantitative portfolio manager,2.12229650633
trading dates employed,1.96688111865
independant consultantquantitative traderresearcher,1.94569326519
quantitative researcher company,1.85563548558
trading llc 3228,1.84930095538
senior portfolio manager,1.84930095538
colleagues at transmarket,1.81878723515
transmarket group click,1.81878723515
trading endorsed by,1.80924294347
trader at sun,1.79266383979
holdings inc 13989,1.79266383979
high frequency trading,1.78858610055
proprietary trading firm,1.74159477618
llc 3228 followers,1.69846445966
générale click and,1.69004401044
colleagues at société,1.69004401044
société générale click,1.69004401044
at société générale,1.68551780203
of funds 183230,1.68422053927
funds 183230 members,1.68422053927
capital dates employed,1.67642499151
trading company name,1.66120708198
trading  shipping,1.6274590395
eni trading ,1.6274590395
senior quantitative trader,1.62682731509
head of quantitative,1.61801055151
cutler group lp,1.61292823539
traders association cta,1.60832933647
 stocks futures,1.60832933647
system trading ,1.60832933647
trading  stocks,1.60832933647
association cta ,1.60832933647
futures forex options,1.60832933647
 quant funds,1.60832933647
quant funds system,1.60832933647
cta  quant,1.60832933647
funds system trading,1.60832933647
stocks futures forex,1.60832933647
endorsements for trading,1.56587323852
portfolio manager company,1.55827961946
paris area france,1.52466295559
at transmarket group,1.50594378033
researcher company name,1.49735980904
and statistical arbitrage,1.49546070822
name société générale,1.49065347913
company name société,1.49065347913
kcg holdings inc,1.48516166473
algorithmic traders association,1.4604545567
location paris area,1.45650007499
 quantitative researcher,1.45565952247
174858 members see,1.44819754392
alpha generation on,1.44819754392
inc 13989 followers,1.44819754392
trading 35343 members,1.44819754392
frequency trading 35343,1.44819754392
university of chicago,1.4365833153
colleagues at sun,1.43298501436
trading llc dates,1.4297838346
new york city,1.4262443491
company name credit,1.41982152707
york city area,1.41627018155
name morgan stanley,1.40069102835
company name morgan,1.40069102835
stanley dates employed,1.40069102835
morgan stanley dates,1.40069102835
greater new york,1.39710019785
reorder skills trading,1.3962962645
financial markets ,1.39100000126
llc dates employed,1.38182950462
london united kingdom,1.37926827016
and fixed income,1.3616614238
followers sun trading,1.36151246141
group click and,1.34671074128
location greater new,1.31910863077
company name societe,1.31574046187
name societe generale,1.31574046187
université paris dauphine,1.30393616903
company name citadel,1.29677882821
trading and statistical,1.28699202941
mos quantitative trader,1.28532736562
management dates employed,1.26896169822
mos location chicago,1.2647250373
greater chicago area,1.26295415242
investment group dates,1.26038841583
equities endorsed by,1.25997926826
mos location london,1.25266063445
 ingenious insights,1.25253709397
axtria  ingenious,1.25253709397
associate  quantitative,1.25253709397
at liquid capital,1.25253709397
gpsk investment group,1.25253709397
energy and fixed,1.25253709397
about quantitative researcher,1.25008794116
2009 employment duration,1.23868378127
carnegie mellon university,1.2319521606
company name imc,1.23005786919
name credit suisse,1.23005786919
university of cambridge,1.22332540073
bnp paribas dates,1.21180979888
paribas dates employed,1.21180979888
endorsements trading see,1.20931818173
paris vi degree,1.20670322856
at credit suisse,1.20670322856
 investment banking,1.20670322856
vi degree name,1.20670322856
accomplishments interests algorithmic,1.20648548575
systematic trading and,1.20440094623
quantitative analyst company,1.19396664224
mos location greater,1.18455053644
reorder skills equities,1.17781504578
quant trading 16141,1.17593244113
trading 16141 members,1.17593244113
name imc financial,1.17593244113
markets  asset,1.17377589665
credit agricole cib,1.17191485257
 systematic trading,1.17191485257
company name squarepoint,1.17191485257
squarepoint capital dates,1.17191485257
name squarepoint capital,1.17191485257
location greater chicago,1.16666202206
skills proprietary trading,1.15800084646
less about université,1.15797362856
trader sun trading,1.15745623271
bank of america,1.15333634089
societe generale corporate,1.15180594033
statistical arbitrage network,1.14201011127
mos location paris,1.13899071217
location london united,1.13695859991
skills trading see,1.13120989975
name transmarket group,1.12780267211
company name transmarket,1.12780267211
 endorsements trading,1.12270021143
 asset management,1.12264786206
citadel investment group,1.11981537321
endorsements for equities,1.1169093928
endorsements for options,1.1169093928
knight capital group,1.1032057244
suisse dates employed,1.10219425902
credit suisse dates,1.10219425902
employment duration 3,1.10122044777
city area see,1.09708823317
interests algorithmic traders,1.09124597258
reorder skills options,1.08624015218
area france see,1.08285435639
group dates employed,1.0817017951
essec business school,1.08059271203
strategist company name,1.07802652652
proprietary trading see,1.07598242522
quantitative trading and,1.07207971525
duration 3 yrs,1.07183438817
capital management dates,1.06968384794
skills equities see,1.0688801459
massachusetts institute of,1.06421457233
tower research capital,1.06398699141
skills options see,1.06365373544
name phd field,1.06059025439
associate company name,1.0590850104
corporate and investment,1.05595796118
chicago area quantitative,1.05413429586
company name bnp,1.05232815264
reorder skills proprietary,1.05232815264
name bnp paribas,1.05232815264
finance dates attended,1.04956154799
trading group 57939,1.04011654799
group 57939 members,1.04011654799
international trading competition,1.04011654799
about université pierre,1.04011654799
quantitative trader sun,1.04011654799
and investment banking,1.03898498982
analyst company name,1.03769897331
pulse 1533787 followers,1.03751139052
société générale corporate,1.03751139052
citadel llc 42029,1.03751139052
of new brunswick,1.03751139052
pulse 1533779 followers,1.03751139052
llc 42029 followers,1.03751139052
laurion capital management,1.03751139052
banking  sgcib,1.03676104288
aqr capital management,1.03401167806
field of study,1.03234701113
mathematics dates attended,1.03116579601
options endorsed by,1.029115489
for proprietary trading,1.02832036785
endorsements for proprietary,1.02832036785
for equity derivatives,1.02832036785
statistical arbitrage see,1.02651301413
name citadel investment,1.02651301413
section certification series,1.02557913362
of technology madras,1.02557913362
skills r see,1.02111102728
followers algorithmic traders,1.01653343743
france see description,1.01542850739
hedge fund group,1.01312785557
attended or expected,1.01067672656
dates attended or,1.01067672656
or expected graduation,1.01067672656
capital group dates,1.0095132615
master of science,1.00908138103
this click and,1.00775206254
at this click,1.00775206254
dates employed jun,1.00666457429
llc click and,0.998725627024
chicago degree name,0.994195578558
reorder skills r,0.982376610127
tepper school of,0.982376610127
degree name phd,0.981080308668
generale corporate and,0.975756263218
location chicago illinois,0.975320333321
of study mathematics,0.973198189483
dates employed jul,0.972171448553
and marie curie,0.96874667012
marie curie university,0.96874667012
pierre and marie,0.96874667012
of chicago degree,0.96764658723
institute of technology,0.967485342118
endorsements for r,0.967008585912
university greater new,0.967008585912
see description see,0.966556181665
description see more,0.966556181665
see more about,0.966556181665
members see all,0.965310125166
llc sun trading,0.965255156782
trading llc sun,0.965255156782
trading strategies see,0.957500978253
endorsements for quantitative,0.95716436114
sent highlights experience,0.956572183607
2008 employment duration,0.95579752806
company name tower,0.955675777147
of study applied,0.954900490219
trading 77554 members,0.953986062838
algorithmic trading 77554,0.953986062838
research company name,0.953272065967
investment banking ,0.951816420838
derivatives endorsed by,0.947020339851
of study computational,0.944563484717
phd field of,0.943497170343
about stanford university,0.943287592953
school of business,0.942323302362
location new york,0.938692556568
yet accomplishments interests,0.938107946921
equity derivatives endorsed,0.935246293972
followers hedge fund,0.935246293972
quantitative finance see,0.933788985896
group hfg association,0.931489764862
alternative investments cta,0.931489764862
hfg association alternative,0.931489764862
association alternative investments,0.931489764862
investments cta funds,0.931489764862
cta funds ,0.931489764862
funds  fund,0.931489764862
 fund of,0.931489764862
corporate  investment,0.931342095039
recommendations yet accomplishments,0.92910512779
mos location new,0.928842893462
